uri,lcsh_topic,lcsh_t1,count
http://bnb.data.bl.uk/id/resource/004161353,Sweden--History--To 1397,Sweden,19
http://bnb.data.bl.uk/id/resource/004161939,"Folk literature, Chinese","Folk literature, Chinese",1
http://bnb.data.bl.uk/id/resource/004162262,Akkadian language--Dictionaries--English,Akkadian language,3
http://bnb.data.bl.uk/id/resource/004990443,Cartographers--Biography--Dictionaries,Cartographers,3
http://bnb.data.bl.uk/id/resource/004991330,S.E.L.B. Irish Studies Library (Northern Ireland)--Maps--Inventories,S.E.L.B. Irish Studies Library (Northern Ireland),18
http://bnb.data.bl.uk/id/resource/004991573,"Atlases, British","Atlases, British",6
http://bnb.data.bl.uk/id/resource/004993264,French language--Dictionaries--English,French language,2148
http://bnb.data.bl.uk/id/resource/004994396,Trevor Philip & Sons--Catalogs,Trevor Philip & Sons,2
http://bnb.data.bl.uk/id/resource/005018164,Ireland--History,Ireland,211
http://bnb.data.bl.uk/id/resource/005018603,"Atlases, British","Atlases, British",6
http://bnb.data.bl.uk/id/resource/005018905,Sedimentary structures--England--Maps,Sedimentary structures,1
http://bnb.data.bl.uk/id/resource/005018907,Cartography--Europe--History,Cartography,13
http://bnb.data.bl.uk/id/resource/005019039,Soviet Union--Description and travel--1970-,Soviet Union,56
http://bnb.data.bl.uk/id/resource/005019053,Cartography--Juvenile literature,Cartography,13
http://bnb.data.bl.uk/id/resource/005019089,Ireland--History,Ireland,211
http://bnb.data.bl.uk/id/resource/005019231,"Atlases, British","Atlases, British",6
http://bnb.data.bl.uk/id/resource/005019675,World politics--20th century,World politics,34
http://bnb.data.bl.uk/id/resource/005019760,Great Britain--Road maps,Great Britain,3176
http://bnb.data.bl.uk/id/resource/005019810,"Atlases, British","Atlases, British",6
http://bnb.data.bl.uk/id/resource/005019969,Map industry and trade--Italy--History,Map industry and trade,13
http://bnb.data.bl.uk/id/resource/005020467,Anthropology,Anthropology,11
http://bnb.data.bl.uk/id/resource/005020480,English language--Dialects--England--Maps,English language,2148
http://bnb.data.bl.uk/id/resource/005020776,Somerset (England)--Maps,Somerset (England),1
http://bnb.data.bl.uk/id/resource/005020783,Wakefield (England)--History--Pictorial works,Wakefield (England),2
http://bnb.data.bl.uk/id/resource/005020857,Great Britain--Climate--Maps,Great Britain,3176
http://bnb.data.bl.uk/id/resource/005021389,Spanish language--Dictionaries--English,Spanish language,2148
http://bnb.data.bl.uk/id/resource/005287947,Penny whistle--Methods--Self-instruction,Penny whistle,1
http://bnb.data.bl.uk/id/resource/005288050,Cello--Methods,Cello,2
http://bnb.data.bl.uk/id/resource/005352668,Streptomycin,Streptomycin,1
http://bnb.data.bl.uk/id/resource/005353562,Uranium--Toxicology,Uranium,1
http://bnb.data.bl.uk/id/resource/005354700,Factory management,Factory management,2
http://bnb.data.bl.uk/id/resource/005355375,Isotopes,Isotopes,6
http://bnb.data.bl.uk/id/resource/005357286,Electronics--Mathematical models,Electronics,19
http://bnb.data.bl.uk/id/resource/005357785,Enzymes,Enzymes,86
http://bnb.data.bl.uk/id/resource/005358760,Petroleum--Prospecting,Petroleum,39
http://bnb.data.bl.uk/id/resource/005359565,Hypergeometric functions,Hypergeometric functions,1
http://bnb.data.bl.uk/id/resource/005361085,Noise--Great Britain,Noise control,1
